,storeid,createtime
624,1496645500689059840,1673230920000
625,1496653714679930880,1673769840000
626,1496655402287370240,1672625760000
627,1496659127496351744,1674020820000
628,1496662756781465600,1672824600000
629,1496662901916966912,1672803780000
630,1496677769873203200,1672812000000
631,1496677769873203200,1672812240000
632,1496683128973172736,1674022500000
633,1496687530203160576,1673159880000
634,1496688382120828928,1672824780000
635,1496689813535985664,1673162160000
636,1496689876350017536,1673774880000
637,1496694642585116672,1673266740000
638,1496694642585116672,1674054240000
639,1496695365385195520,1673266920000
640,1496696817319022592,1672632120000
641,1496713574708547584,1673142540000
642,1496719068626165760,1673230680000
643,1496725960349847552,1672650480000
644,1496725960349847552,1673248920000
645,1496725960349847552,1673763600000
646,1496732119827877888,1673509140000
647,1496736670522023936,1673766780000
648,1496738932522754048,1673267640000
649,1496741466670899200,1673161380000
650,1496742858928168960,1673142900000
651,1496750767229505536,1673488380000
652,1496757270619627520,1672821120000
653,1496757270619627520,1674015420000
654,1496765673802833920,1672822440000
655,1496769459623432192,1673844300000
656,1496772131491549184,1672653000000
657,1496773794268844032,1673231820000
658,1497009565697581056,1673144040000
659,1497013963064479744,1673500020000
660,1497027998904492032,1673878920000
661,1497030565013098496,1673519760000
662,1497031946268708864,1673493900000
663,1497032265891450880,1673154840000
664,1497033181558345728,1673154120000
665,1497035345747906560,1673495520000
666,1497036449483198464,1672622340000
667,1497040236499308544,1673175360000
668,1497040236499308544,1673776560000
669,1497041450511241216,1673487840000
670,1497050330297405440,1673879040000
671,1497072344127250432,1673149200000
672,1497087761272934400,1673504280000
673,1497087817455636480,1673235480000
674,1497093308265275392,1672834620000
675,1497095040311500800,1673148180000
676,1497097184754278400,1673520840000
677,1497100693952139264,1673875320000
678,1497101855262777344,1673233020000
679,1497107777074630656,1673162760000
680,1497107846574247936,1673783220000
681,1497120750396641280,1673250540000
682,1497121399675035648,1673836620000
683,1497121399675035648,1674035460000
684,1497125475552727040,1673771700000
685,1497127847255478272,1673140020000
686,1497127847255478272,1673140020000
687,1497127847255478272,1673852040000
688,1497127847255478272,1673852040000
689,1497130696320356352,1673158680000
690,1497138628768571392,1672826520000
691,1497369694754181120,1672841520000
692,1497372956802813952,1673247840000
693,1497373973930057728,1674021540000
694,1497381404844236800,1673834220000
695,1497381416558792704,1672841640000
696,1497381416558792704,1673188740000
697,1497382803422187520,1673522520000
698,1497383567624511488,1673760180000
699,1497384882052276224,1673755560000
700,1497390372916305920,1673499900000
701,1497393091827736576,1673831400000
702,1497393091827736576,1674022860000
703,1497393315690188800,1673497740000
704,1497394659323027456,1672648980000
705,1497394659323027456,1672796700000
706,1497398726606589952,1673499780000
707,1497398726606589952,1673499780000
708,1497398726606589952,1673499780000
709,1497398945582948352,1672842000000
710,1497398945582948352,1673189220000
711,1497416894968369152,1673864040000
712,1497417072110604288,1673485140000
713,1497434588694454272,1673173620000
714,1497435089150418944,1673883540000
715,1497444243717885952,1673786820000
716,1497449129717276672,1673851620000
717,1497457945250897920,1674031500000
718,1497468032115810304,1673265660000
719,1497488045006524416,1673161020000
720,1497488045006524416,1673161020000
721,1497491315951411200,1673265480000
722,1497496479785422848,1672841760000
723,1497497399122468864,1673246940000
724,1497509095320719360,1672653240000
725,1497509095320719360,1672836360000
726,1497518807722364928,1673791620000
727,1497535945204047872,1673503020000
728,1497536339447517184,1672659720000
729,1497740140649652224,1673157720000
730,1497741724490145792,1674036000000
731,1497745678590550016,1673143560000
732,1497746570991505408,1673772540000
733,1497748144199438336,1672802880000
734,1497748144199438336,1672802880000
735,1497748144199438336,1674036120000
736,1497748144199438336,1674036120000
737,1497750537138085888,1673187480000
738,1497751025673703424,1673241720000
739,1497751538259595264,1673223360000
740,1497753385682870272,1673836800000
741,1497755283513155584,1672799160000
742,1497756558011011072,1673261520000
743,1497758561319653376,1673847240000
744,1497761921221533696,1672811220000
745,1497765186923405312,1673266800000
746,1497765186923405312,1673879220000
747,1497765362106765312,1673743500000
748,1497768486724833280,1672662180000
749,1497770972722503680,1673844540000
750,1497771566472237056,1672802700000
751,1497776361094385664,1672830540000
752,1497776361094385664,1672830540000
753,1497785497160912896,1674024660000
754,1497807261865742336,1672814040000
755,1497810599046942720,1673172240000
756,1497817470256553984,1673506080000
757,1497817752285614080,1673231940000
758,1497819767912927232,1673172360000
759,1497827194284675072,1673511360000
760,1497830207745298432,1674007080000
761,1497833601834815488,1673513520000
762,1497837467888525312,1672661160000
763,1497839319409500160,1673845800000
764,1497839740517621760,1672835460000
765,1497848176852606976,1672651380000
766,1497848969169080320,1673519100000
767,1497859538957901824,1673236200000
768,1498092913840754688,1672797300000
769,1498099478190891008,1673241600000
770,1498101459307335680,1673531160000
771,1498103366436528128,1673148060000
772,1498104236251291648,1672802760000
773,1498105690873532416,1673136840000
774,1498105820141981696,1673771220000
775,1498108533143773184,1672835880000
776,1498108675024494592,1673485800000
777,1498108830347960320,1672624620000
778,1498108830347960320,1672624620000
779,1498109089165742080,1672802820000
780,1498109380858613760,1672802880000
781,1498109509980262400,1672802940000
782,1498109608730955776,1673485560000
783,1498110349831053312,1674001980000
784,1498110932919001088,1673764620000
785,1498110993123905536,1673240700000
786,1498111018616885248,1672791480000
787,1498111018616885248,1672791480000
788,1498111759385497600,1672802880000
789,1498111759385497600,1674036060000
790,1498111966735245312,1674012000000
791,1498112381077954560,1673487900000
792,1498112381077954560,1673854800000
793,1498113468279300096,1672642800000
794,1498114122032746496,1673140620000
795,1498115596771139584,1672817580000
796,1498116152432398336,1673240640000
797,1498116152432398336,1674036180000
798,1498116511863414784,1672625220000
799,1498118958686015488,1673508000000
800,1498120213315588096,1673852340000
801,1498120329464389632,1673249520000
802,1498120338653974528,1672810980000
803,1498121989372780544,1673137320000
804,1498121989372780544,1673136600000
805,1498124644333658112,1673492640000
806,1498124749686050816,1673776380000
807,1498125153333284864,1673530440000
808,1498126313033175040,1673241120000
809,1498127171791888384,1673487540000
810,1498127171791888384,1673487540000
811,1498128487880462336,1672664880000
812,1498128487880462336,1673168220000
813,1498128487880462336,1673233380000
814,1498128487880462336,1673842140000
815,1498128487880462336,1673840700000
816,1498129551367213056,1673260020000
